regionID,iso3c,country_name,city_name,incomeID,measurement,units,year,source,comments
SAS,AFG,Afghanistan,Jalalabad,LIC,population_population_number_of_people,# of people,2015,"Islamic Republic of Afghanistan. 2015. ""State of Afghan Cities 2015."" Volume 1.",
SAS,IND,India,Vishakhapatnam,LMC,population_population_number_of_people,# of people,2011,"Census of India. 2014. ""Databook for PC 2011."" December 22.",
LCN,COL,Colombia,Cali,UMC,population_population_number_of_people,# of people,2005,"CCAC (Climate and Clean Air Coalition). n.d.(d) ""Solid Waste Management City Profile: Cali, Colombia."" Municipal Solid Waste Initiative.",
SAS,AFG,Afghanistan,Kabul,LIC,population_population_number_of_people,# of people,2016,"World Bank. 2016b. ""Islamic  Republic of Afghanistan. Rapid Assessment of Kabul Municipality's Solid Waste Management System"" Report No. ACS19236. June.",
SAS,AFG,Afghanistan,Hirat ,LIC,population_population_number_of_people,# of people,2015,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
SAS,AFG,Afghanistan,Mazar-E-Sharif,LIC,population_population_number_of_people,# of people,2015,"Islamic Republic of Afghanistan. 2015. ""State of Afghan Cities 2015."" Volume 1.",
SAS,AFG,Afghanistan,Kandahar,LIC,population_population_number_of_people,# of people,2015,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
SSF,COM,Comoros,Moroni,LIC,population_population_number_of_people,# of people,2015,"UN (United Nations). 2017a. ""Comoros General Information."" http://data.un.org/en/iso/km.html.",
SAS,IND,India,Lucknow,LMC,population_population_number_of_people,# of people,2011,"Census of India. 2014. ""Databook for PC 2011."" December 22.",
SAS,IND,India,Greater Hyderabad  ,LMC,population_population_number_of_people,# of people,2011,"Census of India. 2014. ""Databook for PC 2011."" December 22.",
SSF,AGO,Angola,Luanda,LMC,population_population_number_of_people,# of people,2010,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
LCN,CRI,Costa Rica,San José,UMC,population_population_number_of_people,# of people,2000,"Municipality of San José. 2011. ""Diagnosis on the management of solid waste in the Canton of San José."" [Municipalidad de San José. 2011. ""Diagnóstico sobre la gestión de los residuos sólidos en el Cantón de San José.""] February.",
ECS,ALB,Albania,Korca,UMC,population_population_number_of_people,# of people,2011,"Pop, Flaviu. 2017. Technical Expert, Green Partners Ltd. Personal communication.",
LCN,CUB,Cuba,Havana,UMC,population_population_number_of_people,# of people,2015,"JICA (Japan International Cooperation Agency). 2007. ""The Study on Integrated Management Plan of Municipal Solid Waste in Havana City."" Volume IV: Data Book. Ministry of Science, Technology and Environment in Havana City, Republic of Cuba. Nippon Koei Co., Ltd. Pacific Consultants International. March.",
ECS,ALB,Albania,Vlora,UMC,population_population_number_of_people,# of people,2011,"KfW Bankengruppe. 2014. ""Status Quo Report: Integrated Solid Waste Management System for the Region of Vlora."" Albanian Ministry of Transport and Infrastructure. April 15.",
SAS,IND,India,Gwalior ,LMC,population_population_number_of_people,# of people,2011,"Census of India. 2014. ""Databook for PC 2011."" December 22.",
ECS,CYP,Cyprus,Nicosia,HIC,population_population_number_of_people,# of people,2016,"Nicosia Municipality. 2016. ""Nicosia Municipality Waste Management Practicies and Policies.""Nicosia, October 23.",
MEA,ARE,United Arab Emirates,Dubai,HIC,population_population_number_of_people,# of people,2015,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
SAS,IND,India,Srinagar,LMC,population_population_number_of_people,# of people,2011,"Census of India. 2014. ""Databook for PC 2011."" December 22.",
MEA,ARE,United Arab Emirates,Abu Dhabi,HIC,population_population_number_of_people,# of people,2015,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
LCN,ARG,Argentina,Rosario,UMC,population_population_number_of_people,# of people,2015,"Anon. n.d.(c) ""Province of Santa Fe"" [""PROVINCIA DE SANTA FE""].",
LCN,ARG,Argentina,Córdoba,UMC,population_population_number_of_people,# of people,2010,"Anon. n.d.(b) ""Province of Cordoba"" [""PROVINCIA DE CÓRDOBA""].",
LCN,ARG,Argentina,Ciudada Autónoma De Buenos Aires (Caba).,UMC,population_population_number_of_people,# of people,2014,"Morton, J. 2017. Personal communication between J. Morton (World Bank) and R. Poveda (World Bank). Data from Permanent Survey of Households (National Institute of Statistics, INDEC), fourth semester 2014.",
SAS,NPL,Nepal,Pokhara,LIC,population_population_number_of_people,# of people,2011,"ADB (Asian Development Bank). 2013b. ""Solid Waste Management in Nepal: Current Status and Policy Recommendations."" Mandaluyong City, Philippines: Asian Development Bank (ADB).",
MEA,DJI,Djibouti,Djiibouti City,LMC,population_population_number_of_people,# of people,2000,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
SAS,IND,India,Pimpri-Chinchwad,LMC,population_population_number_of_people,# of people,2011,"Census of India. 2014. ""Databook for PC 2011."" December 22.",
ECS,ARM,Armenia,Spitak,LMC,population_population_number_of_people,# of people,2013,"ERM (Environmental Resources Management) GmbH. 2014. ""Integrated Solid Waste Management Vanadzor, Armenia: Feasibility Study Report.” December.",
ECS,DNK,Denmark,Copenhagen,HIC,population_population_number_of_people,# of people,2014,"European Commission. 2014f. ""Capital factsheet - Copenhagen."" Assessment of separate collection schemes in the 28 capitals of the EU. Copenhagen Resource Instiute. BiPRO. 070201/ENV/2014/691401/SFRA/A2.",
LCN,DOM,Dominican Republic,Santo Domingo,UMC,population_population_number_of_people,# of people,2013,"Nippon Koei. n.d. ""Master Plan for the Integral Management of Solid Waste in the Commonwealth of Municipalities of Greater Santo Domingo"" [""Plan Maestro para el Manejo Integral de los Residuos Solidos en la Mancomunidad de Ayuntamientos del Gran Santo Domingo""].",
ECS,ARM,Armenia,Vanadzor,LMC,population_population_number_of_people,# of people,2013,"ERM (Environmental Resources Management) GmbH. 2014. ""Integrated Solid Waste Management Vanadzor, Armenia: Feasibility Study Report.” December.",
EAS,AUS,Australia,Canberra,HIC,population_population_number_of_people,# of people,2010,"Australian Capital Territory, Canberra. 2010. ""Canberra Quick Stats 2009-2010."" April. ",
SAS,LKA,Sri Lanka,Moratuwa,LMC,population_population_number_of_people,# of people,2015,"JICA (Japan International Cooperation Agency). 2016. ""Data Collection Survey on Solid Waste Management in Democratic Socialist Republic of Sri Lanka: Final Report.""  Kokusai Kogyo Co., Ltd. February.",
EAS,AUS,Australia,Melbourne,HIC,population_population_number_of_people,# of people,2015,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June.",
EAS,AUS,Australia,Perth,HIC,population_population_number_of_people,# of people,2013,"City of Perth. 2014. ""City of Perth Waste Strategy 2014-2024+."" Hyder Consulting. March. https://www.perth.wa.gov.au/sites/default/files/City%20of%20Perth%20Waste%20Strategy%202014%20-%202024%2B.pdf.",
ECS,AUT,Austria,Vienna,HIC,population_population_number_of_people,# of people,2013,"European Commission. 2014o. ""Capital factsheet - Vienna."" Assessment of separate collection schemes in the 28 capitals of the EU. Copenhagen Resource Instiute. BiPRO. 070201/ENV/2014/691401/SFRA/A2.",
