regionID,iso3c,country_name,incomeID,measurement,units,year,source,comments
ECS,LUX,Luxembourg,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen].""",1; 2; 4
ECS,NOR,Norway,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen].""","1; HW includes waste containing oil, solvents, heavy metals, organics, corrosive waste, inorganics, processing water, and photochemicals"
MEA,MLT,Malta,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen].""",1; 2; 3; 4
EAS,NZL,New Zealand,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014,"New Zealand, MFE (Ministry for the Environment). 2014. ""New Zealand Non-Municipal Landfill Database."" Tonkin and Taylor Ltd. January. TandT Ref: 29310/ ver5.","CandD waste reported as over 3 million tonnes/year; AW calculated based on the amount produced from dairy, livestock, arable, viticulture, and small farms"
EAS,JPN,Japan,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2010,"Modak, Prasad, Agamuthu Pariatamby, Jeffrey Seadon, Perinaz Bhada-Tata, Guilberto Borongan, Nang Sian Thawn, Ma. Bernadeth Lim. 2017. ""Asia Waste Management Outlook"". Edited by P. Modak. United Nations Environment Programme (UNEP), Asian Institute of Technology (AIT), and International Solid Waste Association (ISWA).","6 (excludes hazardous MSW); e-waste includes home appliances (air conditioners, TVs, refrigerator and freezers, washing and drying machines) (452,000 tonnes) and small electrical and electronic equipment (66,978 tonnes); IW includes agricultural waste; HCW includes infectious industrial waste "
MEA,JOR,Jordan,LMC,special_waste_agricultural_waste_tons_year,tonnes/year,2014,"GIZ and SWEEP-Net. 2014d. ""Country Report on the Solid Waste Management in Jordan."" German Corporation for International Cooperation [Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH (GIZ)] and Regional Solid Waste Exchange of Information and Expertise Network in Mashreq and Maghreb Countries (SWEEP-Net), on behalf of the German Federal Ministry for Economic Cooperation and Development [Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ)]. April.","HW includes phosphogypsum; CandD waste reported as 2,600,000 cu.m./year; AW reported as >4 million tonnes/year"
ECS,UKR,Ukraine,LMC,special_waste_agricultural_waste_tons_year,tonnes/year,2015,"GIZ (Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH). 2016. ""National Waste Management Strategy for Ukraine- Preliminary Draft National Waste Management Strategy."" GIZ [Deutsche Gesellschaft für Internationale Zusammenarbeit]. Programme to Support the Green Modernisation of the Ukrainian Economy. Kiev, December.",
ECS,ROU,Romania,UMC,special_waste_agricultural_waste_tons_year,tonnes/year,2014,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen].""",1; 2; 4
ECS,SWE,Sweden,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen].""",1; 2; 4
ECS,BEL,Belgium,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen].""",1; 2; 4
ECS,MKD,"Macedonia, FYR",UMC,special_waste_agricultural_waste_tons_year,tonnes/year,2014,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen].""",
ECS,FIN,Finland,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen].""",1; 2; 4
MEA,IRN,"Iran, Islamic Rep.",UMC,special_waste_agricultural_waste_tons_year,tonnes/year,2005,"Modak, Prasad, Agamuthu Pariatamby, Jeffrey Seadon, Perinaz Bhada-Tata, Guilberto Borongan, Nang Sian Thawn, Ma. Bernadeth Lim. 2017. ""Asia Waste Management Outlook"". Edited by P. Modak. United Nations Environment Programme (UNEP), Asian Institute of Technology (AIT), and International Solid Waste Association (ISWA).",12; HW value is hazardous component of industrial waste; CandD waste calculated based on the assumption that CandD waste is 4-5 times more than MSW; HCW value for Tehran and Isfahan (10 g/person/day) and Mashhad (6 g/person/day); made on the assumption that hospital waste is ~8-10 percent of MSW
