iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
ABW,LCN,Aruba,HIC,,,,,,,,,,,"",Yes,Yes,Yes,Yes,103187,,,,,,,88132.0167,,,,,,,,,,,,,,,,,,,,11,,89,,""
AFG,SAS,Afghanistan,LIC,21413614653.3241,,,,,,,,,,"",Yes,Yes,Yes,"",34656032,6802511,,2e4,,,9855,5628525.37,,,,,,,,,,,,,,,,,,,,,,,,Other
AGO,SSF,Angola,LMC,103042328743.665,51.8,6.7,4.4,11.5,11.9,13.5,,,,"","",Yes,Yes,"",25096150,,,92e3,,,5495.95,4213643.585,,,,,,,23.1,,,,,,,,,,,,,,,,,""
ALB,ECS,Albania,UMC,13471082475.1768,51.4,4.5,4.8,15.209999999999999,9.9,9.6,,4.6,,No,Yes,Yes,Yes,No,2880703,,203009,2e4,5714.82,270269,114.3,1142964,,,,,,,60,,,,,,,,,,,,,,,,,Some disposal sites
AND,ECS,Andorra,HIC,3319880351.13342,31.2,8.2,2.6,11.6,35.1,11.3,,,,"",Yes,Yes,Yes,"",82431,,,,1788,,,43e3,,,,,,,100,,,,,,,,,52.1,,,,,,47.9,,""
ARE,MEA,United Arab Emirates,HIC,384222464261.402,39,4,3,10,25,19,,,,Yes,Yes,"",Yes,"",9269612,493106,2876313,134e3,57525,3306644,4573,5413453.408,,,,,,,,,,,,,,9,,,9,62,,20,,,,""
ARG,LCN,Argentina,HIC,447517812725.52,38.74,3.16,1.84,15.36,13.96,14.61,1.26,1.09,9.95,Yes,"",Yes,Yes,"",42981515,,,291700,310044,,,17910550,,,,,,,89.91,,,,94.82,,,,8.9,,,22.6,,6,62.5,,,Other
ARM,ECS,Armenia,UMC,11501998665.6524,57,3.2,3.4,17.4,6.7,11.4,0.3,0.6,,No,No,Yes,No,"",2906220,1570,7820,14e3,62270,47310540,,492800,,,10,,,,,,,,90,,,,,,,100,,,,,,Other
ASM,EAS,American Samoa,UMC,534555066.079295,19.7,3.4,7.9,25.6,26.4,12.8,4.2,,,"",Yes,"","","",55599,,,,,,,18989.49,,,,,,,100,,,,100,,,,,,,,,,,,,""
ATG,LCN,Antigua and Barbuda,HIC,1344373697.9233,46,7,7,12,15,13,,,,No,Yes,Yes,No,No,96777,,,1100,,,,30585,,,,,,,98.61,,,,,,,0.08,98.68,,,,,,,1.14,0.1,Disposal Site
AUS,EAS,Australia,HIC,1349304594617.26,48.44,3.81,19.38,3.46,17.3,7.61,,,,Yes,Yes,Yes,Yes,Yes,23789338,,2e7,574e3,7e6,31e6,,13345e3,,,,,,,,,,,,,,,,9.77,48.87,,,42.1,,,,""
AUT,ECS,Austria,HIC,420040461384.701,31.4,7,4.4,18.5,19.7,11.1,,7.9,,"",Yes,Yes,No,"",8633169,1887723,42423893,166174,1272288,,696748,4836e3,,,,,,,,97.77,,,,,,31.24,,37.9,2.98,,,25.66,,2.22,,""
AZE,ECS,Azerbaijan,UMC,57195531761.5917,45.19,5.28,3.49,13.729999999999999,10.93,7.87,3.09,,10.42,"",Yes,Yes,No,"",9649341,,,63e3,296979.4,,,2930349,,,,,,,56,,,,90,,,,,,,100,,,,,,Various
BDI,SSF,Burundi,LIC,2297241391.84594,81,2.9,2.1,3.2,7.3,3.5,,,,"","","","","",6741569,,,5e3,,,,1872016,,,,,,,,,,,,,,,,,,,,,,,,""
BEL,ECS,Belgium,HIC,515102640677.261,14.18,3.1,1.91,40.14,18.38,13.94,,2.37,5.84,"",Yes,Yes,No,"",11274196,5635143,35824399,603575,2946195,,2397368,4708e3,,,,,,,,97.74,,,,,,19.137,,43.39,0.91,,,34.303,,2.26,,""
BEN,SSF,Benin,LIC,9102277422.82945,52.1,1.6,1.6,34.3,3.1,7.3,,,,"","",Yes,Yes,"",5521763,,,8200,,,1698,685936.01,,,,,,,,,,,,,,,,,,,,25,,75,,""
BFA,SSF,Burkina Faso,LIC,12380518526.0539,21,1,1,61,7,9,,,,No,No,Yes,Yes,"",18110624,,,11e3,7871,,,2575251.11,,,,,,,9.6,34.52,,,,,,,,,17,59,,12,,12,,""
BGD,SAS,Bangladesh,LMC,167771337874.218,80.57999999999998,0.44,0.5,8.59,3.04,4.67,1.08,,1.1,No,Yes,Yes,Yes,"",155727053,65e6,,142e3,114358,26884,12271,14778497.33,,,,,,,,52,,,60.39,,,5.25,,,,,,,,94.75,,Source
BGR,ECS,Bulgaria,UMC,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,Yes,Yes,Yes,Yes,Yes,7177991,983646,172369117,53785,12206169,,518228,3011e3,,,,,,,,98.3,,,,,,10.32,,2.75,66.22,,,19.03,,1.68,,Other
BHR,MEA,Bahrain,HIC,31769062885.3112,59.1,3.4,2.1,15.2,12.8,7.4,,,,No,Yes,Yes,"","",1425171,,570099.67,2e4,31e3,14e4,911e3,951942.9694500001,,,,,,,,,,,,,,,,,92,,,8,,,,Disposal Site
BHS,LCN,"Bahamas, The",HIC,10343803831.7942,46,7,7,12,15,13,,,,No,Yes,No,No,No,386838,,,4900,,,,264e3,,,,,,,,,,,,,,,,,,,,,,,,""
BIH,ECS,Bosnia and Herzegovina,UMC,18929698720.1192,,,,92.7,4.9,,,,2.4,No,No,No,Yes,Yes,3535961,,252310,1409,8408,4048650,8150,1248718,,,,,,,,73.99,,,,,,,8.55,,,41.75,0.025,9.7e-4,24.12,25.554029999999997,,Other
BLR,ECS,Belarus,UMC,59187019676.14,30,8,2,35,5,12,6,2,,Yes,Yes,Yes,Yes,Yes,9489616,,,72e3,1336926,,,428e4,,,69.2,,,,93.2,,,,100,,,,76.9,,,7.1,,16,,,,At the disposal sites and at the waste generation source
BLZ,LCN,Belize,UMC,1602671549.36449,47,8,5,5,16,19,,,,Yes,Yes,Yes,"","",359288,,,2300,,,188,101378.83030000002,,,,,,,85.2,,,,,,,,,,,66,,,34,,,""
